author_username,comment,date
d*****h,"Product is light, suitable for gaming and convenient without the worry of cable management.
The mouse also comes with Logitech sticker, cable to charge, dongle as seen in Logitech main website
Additionally, the casing really nice and all products are good quality",21-08-14 11:08:01
eddietankokhong,Well wrapping..fast delivery..very good deal as i purchase during 7.7 only rm579 with 10% cashback..really worth it n happy to grab white color..furthermore got free hardcase!! hope it will not fade or have black marking like my glorious model d minus,21-07-11 12:42:54
s*****d,"Order it on the weekend,received it by monday. Very fast delivery. As for the item, everything works perfectly fine and nothing damage to the goods. Nothing to say about the mouse, you know what you buying :)",23-03-29 07:45:03
spitdark94,"Waited for so long because J&T is slow. 
But here it is! So pretty. Worth selling the black one for this xD 
Now I will not be any pro than I have ever been but at least I can lose games in style!

Too bad for white color, the sticker and wires are still black though. Other than that all the same <3",22-05-20 20:58:38
yannaazlan,Function well. All in good conditions. Safely wrapped. Fast delivery.,22-03-17 19:12:34
aniqmuhai96,"Performance:Mantap Mart

Ringan gile beza dengan g304 hantar pun laju jugak lepas ni boleh auto hedsot",23-01-26 18:14:42
soraventus89,"Performance:good performance and nice product

Legit product and logitech with malaysia warranty too local one.",22-08-18 00:20:11
z*****2,"Delivery was swift, item arrived in perfect condition.

One of the best mouse on the market right now. Very satisfied.",21-08-12 08:46:37
d*****i,Best best best. Packaging bagus. Barang solid. Dapat free hard case. Memang terbaik.,21-09-15 05:29:56
y*****s,Item received in good condition. Siap dapat free mouse case dan valorant mousepad. I really like the mousepad because i play valorant. Very recommended seller. Cuma J&T la slow.,22-01-27 14:41:13
mkzypida6f,As expected of ALL IT very fast delivery and very good packaging to ensure the product is not damaged. Tried it and no problem whatsoever. 👍🏻👍🏻👍🏻,23-04-10 17:09:36
nubcake24,Package wrapped well in lots of bubble wrap as well as some cardboard. Love that there was a free mouse case as well!,21-08-15 15:35:19
k*****3,The shipout process is really fast and the seller is patient. Product in good condition,23-03-29 14:32:34
keanloongx,"Performance:mouse is light

The delivery slow abit but overall of the mouse is great love the mouse very much",23-03-31 16:45:35
m*****l,my boyfriend loves it sooo much! he said its comfortable to use and can check the battery using its app. very convenient! thank you,21-08-11 17:41:14
baemm_,Very light not gonna lie... Also the surface is quite slippery and im using claw grip and its kinda weird but i think it will be fine,23-04-07 20:40:11
azizi.9,Feel very light! Bought this to replace my rvu. Super satisfied plus fast delivery!,22-05-10 18:48:03
adrenalinesurge,"Main mice, compared to the g pro wireless you'll definitely feel the difference in weight from ~80g > ~60g. An amazing shape even for someone with a small hand, it felt scratchy on my mousepad, just wait until the mouse skates break in ,its really smooth, tq for the gift! twitch.tv/adrenalines",21-09-22 01:05:35
cooganw,"Performance:Pretty good, despite the older tech used internally

Highly recommend",23-05-01 23:37:46
darylgoh8888,"Great product, delivery fast, packaging secure!",23-04-28 13:26:01
afrosamurai,Fast delivery and genuine product !,22-07-18 19:58:05
muadzreiner,this mouse gave me aimbot😈 btw im immortal 3 :D,22-05-09 14:02:12
eishikunn,"box bit dented, mouse working fine",23-01-24 18:52:10
hisyamgaffar,Item wrapped securely. very good services. credit to seller,21-09-18 13:01:14
teoshihee,"货物很完整的快速到达。
很好的购物平台。
已检查货物，商家很有心把货物包装的很好，都完整，毫无破损。
谢谢商家。",23-01-28 23:41:20
kennywtc,"Plug and play, could be used immediately, still need some adjustments to meet personal preference",22-01-27 09:45:16
daimalhakim,Good stuff . Memang ringan teruks and selesa,21-07-13 18:35:56
zainuddinoverwatch,"Good stuff , really liked it",21-09-01 13:38:46
megazon_511,product arrived safely and everything is ok,23-04-28 12:08:40
benghazi0783,Great service by seller 👌,21-08-13 13:51:37
jasbirkaur2019,A good product- very happy with it,21-11-26 17:34:46
sushi247,"Great Product, Free Valorant mousepad.",21-02-07 17:20:31
johnnyshin0304,Product ok but slow delivery,21-07-23 21:13:01
adibrosdi4,"Performance:High quality

Worth it.",23-04-12 23:57:50
johnyang91,,21-06-23 21:40:41
j*****0,So Nice...... 很好的手感,22-11-23 01:51:34
d*****7,Niceee,23-05-07 10:09:36
a*****6,very nice!,22-02-15 15:34:41
federickdavis,nice,23-04-15 19:59:57
kuncidin99,"Performance:semua okay

Terboik",23-04-28 19:31:30
a*****i,"Fast delivery, good package",21-05-11 17:48:18
harizfarhan_,Performance:nice,23-05-08 21:32:44
wakaka05,,21-07-24 16:11:32
spartamsyamil,,22-10-09 12:50:38
b*****a,Road to radiant with this beast,21-09-11 19:02:03
aidansoo,Steady Bom bibi,21-09-14 12:36:40
r*****e,mouse really light,22-03-06 16:07:12
i*****y,Good item,23-02-01 23:17:54
symlsho,Terbaik!,22-04-30 16:56:31
fathanakif,,24-03-02 15:32:17
anorekt,,23-10-13 22:24:34
